Continuous MARL Server listening on 127.0.0.1:5555
Client connected: ('127.0.0.1', 52275)
X=689.3, Y=5317.4 | Дії Мисливця: Рух=0.31, Поворот=-0.98 | Радар=-0.09 | Нагорода=-0.0546
X=684.6, Y=5312.4 | Дії Мисливця: Рух=0.00, Поворот=-0.58 | Радар=0.05 | Нагорода=0.1097
X=681.9, Y=5309.7 | Дії Мисливця: Рух=-0.80, Поворот=-0.16 | Радар=0.11 | Нагорода=0.0335
X=690.3, Y=5312.6 | Дії Мисливця: Рух=0.09, Поворот=-0.86 | Радар=0.14 | Нагорода=-0.2990
X=697.9, Y=5315.1 | Дії Мисливця: Рух=0.05, Поворот=0.10 | Радар=0.25 | Нагорода=-0.2469
X=696.7, Y=5315.3 | Дії Мисливця: Рух=-0.01, Поворот=-0.48 | Радар=0.24 | Нагорода=-0.0431
X=696.2, Y=5315.4 | Дії Мисливця: Рух=-0.46, Поворот=0.62 | Радар=0.29 | Нагорода=-0.0552
X=701.1, Y=5314.6 | Дії Мисливця: Рух=-0.14, Поворот=-0.35 | Радар=0.21 | Нагорода=-0.1726
X=707.3, Y=5314.1 | Дії Мисливця: Рух=-0.23, Поворот=-0.09 | Радар=0.25 | Нагорода=-0.2034
X=713.2, Y=5313.6 | Дії Мисливця: Рух=0.15, Поворот=-0.84 | Радар=0.27 | Нагорода=-0.1978
X=713.2, Y=5314.0 | Дії Мисливця: Рух=-0.48, Поворот=-0.30 | Радар=0.38 | Нагорода=-0.0720
X=713.4, Y=5313.5 | Дії Мисливця: Рух=0.82, Поворот=-0.08 | Радар=0.42 | Нагорода=-0.0896
X=711.3, Y=5315.1 | Дії Мисливця: Рух=-0.54, Поворот=-0.89 | Радар=0.43 | Нагорода=-0.0490
X=706.1, Y=5318.2 | Дії Мисливця: Рух=-0.49, Поворот=0.31 | Радар=0.55 | Нагорода=-0.0461
X=710.3, Y=5310.2 | Дії Мисливця: Рух=-0.19, Поворот=0.53 | Радар=0.51 | Нагорода=-0.0480
X=714.6, Y=5303.7 | Дії Мисливця: Рух=-0.29, Поворот=-0.15 | Радар=0.43 | Нагорода=-0.0739
X=719.7, Y=5298.4 | Дії Мисливця: Рух=0.06, Поворот=0.52 | Радар=0.45 | Нагорода=-0.1105
X=721.1, Y=5297.1 | Дії Мисливця: Рух=0.14, Поворот=0.49 | Радар=0.38 | Нагорода=-0.0693
X=718.9, Y=5298.4 | Дії Мисливця: Рух=-0.30, Поворот=-0.49 | Радар=0.31 | Нагорода=-0.0412
X=718.6, Y=5298.9 | Дії Мисливця: Рух=-0.36, Поворот=-0.36 | Радар=0.38 | Нагорода=-0.0964
X=725.4, Y=5295.5 | Дії Мисливця: Рух=-0.14, Поворот=-0.21 | Радар=0.43 | Нагорода=-0.1736
X=730.6, Y=5292.1 | Дії Мисливця: Рух=0.59, Поворот=-0.52 | Радар=0.46 | Нагорода=-0.1420
X=729.5, Y=5294.1 | Дії Мисливця: Рух=-0.29, Поворот=-0.15 | Радар=0.54 | Нагорода=-0.0750
X=727.7, Y=5296.1 | Дії Мисливця: Рух=-0.13, Поворот=0.23 | Радар=0.56 | Нагорода=-0.0924
X=729.2, Y=5292.9 | Дії Мисливця: Рух=-0.45, Поворот=0.27 | Радар=0.53 | Нагорода=-0.0755
X=733.6, Y=5286.1 | Дії Мисливця: Рух=0.12, Поворот=-0.17 | Радар=0.49 | Нагорода=-0.0748
X=736.3, Y=5282.4 | Дії Мисливця: Рух=-0.22, Поворот=0.23 | Радар=0.51 | Нагорода=-0.0585
X=737.1, Y=5281.1 | Дії Мисливця: Рух=-0.14, Поворот=0.13 | Радар=0.48 | Нагорода=-0.0925
X=739.7, Y=5278.0 | Дії Мисливця: Рух=0.46, Поворот=-0.15 | Радар=0.46 | Нагорода=-0.0975
X=737.8, Y=5279.7 | Дії Мисливця: Рух=-0.21, Поворот=-0.87 | Радар=0.48 | Нагорода=-0.0538
X=735.6, Y=5281.6 | Дії Мисливця: Рух=0.33, Поворот=-0.63 | Радар=0.61 | Нагорода=-0.0824
X=735.1, Y=5283.1 | Дії Мисливця: Рух=-0.22, Поворот=-0.31 | Радар=0.69 | Нагорода=-0.0793
X=734.0, Y=5285.9 | Дії Мисливця: Рух=0.44, Поворот=-0.29 | Радар=0.74 | Нагорода=-0.1194
X=733.6, Y=5288.7 | Дії Мисливця: Рух=-0.35, Поворот=-1.00 | Радар=0.78 | Нагорода=-0.1039
X=733.1, Y=5292.6 | Дії Мисливця: Рух=-0.23, Поворот=-0.32 | Радар=0.92 | Нагорода=-0.1507
X=728.8, Y=5288.6 | Дії Мисливця: Рух=-0.53, Поворот=0.32 | Радар=0.97 | Нагорода=0.0472
X=721.3, Y=5280.8 | Дії Мисливця: Рух=-0.18, Поворот=-0.21 | Радар=0.92 | Нагорода=0.1696
X=715.3, Y=5274.2 | Дії Мисливця: Рух=0.02, Поворот=0.07 | Радар=0.96 | Нагорода=0.1214
X=714.7, Y=5273.6 | Дії Мисливця: Рух=-0.26, Поворот=0.32 | Радар=0.95 | Нагорода=-0.0490
X=713.5, Y=5272.2 | Дії Мисливця: Рух=-0.02, Поворот=-0.72 | Радар=0.90 | Нагорода=-0.0537
X=712.5, Y=5270.9 | Дії Мисливця: Рух=0.18, Поворот=-0.21 | Радар=-0.98 | Нагорода=-0.0297
X=713.4, Y=5271.3 | Дії Мисливця: Рух=-0.68, Поворот=-0.76 | Радар=-0.95 | Нагорода=-0.0939
X=710.8, Y=5270.4 | Дії Мисливця: Рух=-0.44, Поворот=0.28 | Радар=-0.84 | Нагорода=-0.0331
X=696.7, Y=5266.3 | Дії Мисливця: Рух=0.22, Поворот=0.09 | Радар=-0.88 | Нагорода=0.2404
X=691.6, Y=5265.1 | Дії Мисливця: Рух=-0.09, Поворот=-0.47 | Радар=-0.90 | Нагорода=0.0483
X=690.3, Y=5265.0 | Дії Мисливця: Рух=-0.20, Поворот=-0.40 | Радар=-0.82 | Нагорода=-0.0413
X=686.3, Y=5264.6 | Дії Мисливця: Рух=0.31, Поворот=-0.59 | Радар=-0.76 | Нагорода=-0.0125
X=685.1, Y=5263.7 | Дії Мисливця: Рух=0.94, Поворот=0.33 | Радар=-0.66 | Нагорода=-0.0300
X=696.4, Y=5259.4 | Дії Мисливця: Рух=-0.70, Поворот=-0.43 | Радар=-0.71 | Нагорода=-0.2203
X=706.6, Y=5255.6 | Дії Мисливця: Рух=0.07, Поворот=-0.69 | Радар=-0.65 | Нагорода=-0.2379
X=705.8, Y=5255.5 | Дії Мисливця: Рух=-0.57, Поворот=0.14 | Радар=-0.54 | Нагорода=-0.0477
X=702.9, Y=5258.0 | Дії Мисливця: Рух=-0.17, Поворот=-0.03 | Радар=-0.56 | Нагорода=-0.0778
X=697.5, Y=5263.0 | Дії Мисливця: Рух=0.29, Поворот=-0.65 | Радар=-0.55 | Нагорода=-0.0654
X=696.3, Y=5263.8 | Дії Мисливця: Рух=0.27, Поворот=-0.10 | Радар=-0.46 | Нагорода=-0.0554
X=699.5, Y=5258.6 | Дії Мисливця: Рух=-0.35, Поворот=-0.38 | Радар=-0.45 | Нагорода=-0.0461
X=699.3, Y=5260.1 | Дії Мисливця: Рух=-0.64, Поворот=-0.10 | Радар=-0.41 | Нагорода=-0.1136
X=697.3, Y=5264.7 | Дії Мисливця: Рух=-0.43, Поворот=0.07 | Радар=-0.41 | Нагорода=-0.1254
X=692.4, Y=5276.1 | Дії Мисливця: Рух=0.60, Поворот=-0.10 | Радар=-0.41 | Нагорода=-0.1777
X=690.8, Y=5279.9 | Дії Мисливця: Рух=-0.44, Поворот=0.27 | Радар=-0.40 | Нагорода=-0.0930
X=690.4, Y=5280.7 | Дії Мисливця: Рух=-0.18, Поворот=0.02 | Радар=-0.44 | Нагорода=-0.0978
X=688.0, Y=5285.4 | Дії Мисливця: Рух=-1.00, Поворот=0.07 | Радар=-0.45 | Нагорода=-0.1233
X=680.1, Y=5299.3 | Дії Мисливця: Рух=0.20, Поворот=-0.23 | Радар=-0.45 | Нагорода=-0.1647
X=672.6, Y=5312.2 | Дії Мисливця: Рух=0.15, Поворот=-0.09 | Радар=-0.42 | Нагорода=-0.1284
X=672.4, Y=5312.1 | Дії Мисливця: Рух=0.12, Поворот=-0.04 | Радар=-0.41 | Нагорода=-0.0591
X=673.6, Y=5309.1 | Дії Мисливця: Рух=-0.28, Поворот=0.10 | Радар=-0.40 | Нагорода=-0.0380
X=673.4, Y=5309.5 | Дії Мисливця: Рух=0.39, Поворот=-0.22 | Радар=-0.42 | Нагорода=-0.0962
X=673.1, Y=5310.1 | Дії Мисливця: Рух=0.04, Поворот=-0.78 | Радар=-0.39 | Нагорода=-0.0685
X=673.8, Y=5308.3 | Дії Мисливця: Рух=0.01, Поворот=0.27 | Радар=-0.28 | Нагорода=-0.0465
X=673.9, Y=5307.8 | Дії Мисливця: Рух=0.22, Поворот=0.25 | Радар=-0.32 | Нагорода=-0.0572
X=674.4, Y=5305.1 | Дії Мисливця: Рух=-0.08, Поворот=0.30 | Радар=-0.36 | Нагорода=-0.0286
X=674.6, Y=5303.5 | Дії Мисливця: Рух=-0.09, Поворот=0.01 | Радар=-0.40 | Нагорода=-0.0435
X=674.0, Y=5305.0 | Дії Мисливця: Рух=0.11, Поворот=-0.22 | Радар=-0.40 | Нагорода=-0.0758
X=673.6, Y=5305.9 | Дії Мисливця: Рух=1.00, Поворот=0.19 | Радар=-0.37 | Нагорода=-0.0710
X=677.0, Y=5295.0 | Дії Мисливця: Рух=0.00, Поворот=-0.03 | Радар=-0.40 | Нагорода=0.0453
X=681.7, Y=5281.4 | Дії Мисливця: Рух=-0.08, Поворот=-0.51 | Радар=-0.40 | Нагорода=0.0625
X=681.5, Y=5281.9 | Дії Мисливця: Рух=-0.30, Поворот=-0.39 | Радар=-0.34 | Нагорода=-0.0676
X=680.6, Y=5287.0 | Дії Мисливця: Рух=-0.67, Поворот=-0.56 | Радар=-0.28 | Нагорода=-0.1558
X=680.0, Y=5302.9 | Дії Мисливця: Рух=-0.08, Поворот=-0.07 | Радар=-0.20 | Нагорода=-0.3348
X=680.5, Y=5311.8 | Дії Мисливця: Рух=-1.00, Поворот=0.19 | Радар=-0.19 | Нагорода=-0.2153
X=682.7, Y=5321.1 | Дії Мисливця: Рух=0.16, Поворот=0.25 | Радар=-0.21 | Нагорода=-0.2837
